true-predicted	TRUE	predicted	message	source	correct	true 2nd	predicted 2nd
C&I-C&I	C&I	C&I	This is my answer to the first question as Harriet. Some people are reluctant to go to the health centres because they're asked for money which is true. Much as they do ask for it, the government facilities have no medicine. You can only find it there once in awhile. Another reason is they take long to attend to the patients. Some patients can be very ill and decide to sleep around the health centre but when the nurses arrive they insult them instead. Some nurses are very rude but very good ones are there too.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	As Harriet, I think children from poor communities are prone to diseases because some people don't take certain issues seriously. They know even if they find out about them, there's nothing much they can do. If at all they fail to get salt and eat food without salt! That's why some get knives and commit suicide. Therefore, if something is not preventing one from eating or drinking, it's not an issue. That's why poor children are affected because of need.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	For the third part, my question is why is it that amongst the diseases we are examining, women are the most affected. I don't get it. Thanks for participating, supporting and doing good work. God bless you.	case study	TRUE	SE	none
SE-SE	SE	SE	How are you Andrew? Thanks for the work. Thanks for training us.	case study	TRUE	SE	none
SE-SE	SE	SE	Andrew thanks for the work it is Harriet. Thanks for what you are doing for us. Thanks for not giving up on us Catherine and Bryan. Thanks for the responsibility. We really appreciate. Thanks for doing this project. There are so many people who have ear problems, but you have been able to help them. Even though some are still doubting I am sure they will get to know the project will help them.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	I have a concern as Gordon. When you talk to patients about allergies, they don't understand. What is allergy? Does it mean changes in the body? I'd like to know it in our language.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Thank you my fellow participants. People don't go to the government health centers because of the pain the have to endure. You have to wake up early to get there as soon as possible only for them to arrive at later hours. You then wait for long hours, and as you are finally about the get them, they break off for lunch. They then take long hours having lunch. If you have some little money you would rather go to a private clinic where you are more likely to receive immediate attention.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	My apologies to you all. This is my response to the second question. Why are village children prone to ear diseases? We villagers have our own way of reasoning that is different from town people. First of all we have no time to clean our children's ears. Even when they get a problem we poison them more. We mix several herbs and end up introducing germs in their ear which causes inner ear diseases.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	This is my view on the questions. Some people are just lazy, other government health centers don’t care about the patients which frustrates them making them go to private clinics instead. Others decide to just sit home and wait upon the Lord to finally take them away from earth. Also people in the villages are so lazy and don't check their children's ears. Others swim in dirty water. But thank you Andrew for that training. And his team Bryan and Catherine. Thank you so much. That is my view.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	People don't go to the government health centers because of the long distances and medicine is never there most of the time. The other issue is about the time they take waiting for the nurses.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Children in villages get that disease because their parents don't seek advice on what treatment to give them. They instead go to witch doctors, instead of going to health centers. Those in urban areas have family doctors.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Thank you Luke. This is an interesting point. Indeed it probably does not help that poorer children are unable to afford quick and prompt treatment. Fast treatment for CSOM with washout, drying and antibiotic drops is important. It is also very important to follow up the child regularly. It is your role as VHTs and esteemed community members to act as advocates for the people. You know that medicine should be free at the health centers. We therefore need to apply gentle pressure to the government officials to make sure this happens.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Interesting. So you have to encourage people to challenge those who demand money. For example - everyone has a boss. Even the doctor at the health center.. their boss is the in charge, the incharges boss is the DHO... encourage people to know their rights as citizens and to challenge those who abuse power. Get them to take their name and registration number. Then report this to LC1 and HC in-charge in formal writing, keeping a copy for yourself which can be used as evidence.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	All very interesting views. I think then as VHTs you should be advocating for the poorer members of society to ensure they are treated fairly.	case study	TRUE	SE	none
QA-QA	QA	QA	Ok. Thank you Julliette. That is why keeping good records (as you are doing in your books) is important. That way we have a clear record of a. how many patients in the community have a problem b. using this evidence to petition the district and Health Center to show there is a need for good treatment and enough medicine.	case study	TRUE	SE	none
SE-SE	SE	SE	If we have evidence and are informed citizens aware of our rights and the needs of those who we serve then we are empowered.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Thanks Jane. Otitis media is a disease of poor hygiene and actually much more common in poor children than those from rich families. For example, in poor areas of Australia almost 70% of children has CSOM compared to the rich areas where it is only 1%. It is a disease of inequality.  It is common in areas of overcrowding, poor hygiene etc. If a child is exposed to a dirty environment and put things in their ears then they have more risk of introducing bacteria...	case study	TRUE	SE	none
SE-SE	SE	SE	This is excellent Edward. You are acting as an advocate for your community and as a leader informing people of their rights as citizens. Thank you for your hard work.	case study	TRUE	SE	none
SE-SE	SE	SE	Very interesting points. Thank you for sharing Edward.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Thank you Karl . Very excellent points. To reply to your question - "allergy" means a reaction to something which the persons body is against. For example some people have allergies to dust which makes them cough, others are very serious such as some people are allergic to latex, nuts or cat fur.... there skins goes very itchy and swells up and they can even die if they have a very serious allergy.	case study	TRUE	SE	none
SE-SE	SE	SE	Thank you Karl . This is excellent advocacy work and great citizenship.	case study	TRUE	C&I	none
C&I-C&I	C&I	C&I	I can understand their frustration Nora. That is why having the medicines as VHTs and going house to house is so important. You build trust and respect of the community like how you are doing with Anna Nabwire the 97 year old lady who you are treating with antibiotic drops. Imagine how hard it would be for her to go to Seeta Nazigo 3 times a day for treatment with drops. You are giving her an excellent service.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Good point. The cause of CSOM is due to poor hygiene sometimes so encourage parents to keep their children's ears clean and dry.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Am Patricia, its true that big government hospitals ask for money which is not the case with other small Health centres, therefore as a VHT, the knowledge I give people who are poor and who can't afford to pay is that they should go to the Health centres instead of staying home, because at the health centres there are professional health officers who will examine them and tell them which illness is affecting them so they can buy the medicine at a lower price after knowing the cause of the illness, that's my view.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	The second question, my answer is that people have poor hygiene, parents don't care about their children very well, they have low income earnings, poor clothing , they even fail to buy soap because of low income, a child may even spend three days without bathing which had caused diseases like otitis media due to poor hygiene.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Nora. Please see my previous answer to Karl. This is a good question - allergy can be caused by lots of things. Sometimes the person is born with it, other times they develop it over time. No one knows the exact cause. What is important to know is that people can be allergic to lots of different things e.g. fur, dust, antibiotics, pollen, nuts, milk etc. The response also differs. For example some people have a minor reaction e.g. itching. Others have a very severe and dangerous reaction. Their lips swell up and their airway can close off. This more dangerous reaction is much rarer but important as the person can die.	case study	TRUE	none	none
SE-SE	SE	SE	Thank you for both answers Isabella. I appreciate this input. I agree - it is hard to find specialist ear doctors in Uganda. However you VHTs in Makata, Seeta Nazigo, Kavuule and Kirujja Butoke and now becoming experts in ear disease. You will be leaders for future VHTs and examples for other VHTs and Community Health Workers around Uganda and the world.	case study	TRUE	C&I	none
C&I-C&I	C&I	C&I	Thanks Gordon. This is true actually that poorer children get CSOM more. However there are also poor areas of towns where children suffer, especially in slum areas. The other big problem is timely treatment and also prevention. Remember, encourage adults to make sure their children don't pick at their ears, keep their hands clean and seek prompt advice and treatment if they have pus coming from their ear.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Thank you for all your inputs Harriet. You have done excellent work this last few weeks. I like how you are working in pairs with Isabella. It is a good idea and other VHTs might consider going in pairs on their home visit or asking their supervisor (Edward or Dorothy) to accompany them once in a while. In answer to your questions why are women getting disease more than men.... It is unlikely that women are more affected, but women might be more likely to be at home when you do home visits compared to men who might be out. Also women might be more willing to say they have a problem compared to men who many deny any problems. This is a very interesting insight though.	case study	TRUE	SE	none
SE-SE	SE	SE	I am good. It has been a busy week but thank you all VHTs for your hard work.	case study	TRUE	C&I	none
SE-SE	SE	SE	Thank you Patricia. Excellent points.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	VHTs who answers 4 out of 5 days or 5 out of 5 days the cases will receive 1500 shillings for airtime which will be loaded to their phone on Monday. These are Edward, Dorothy, Isabella, Harriet, Luke. Those who answers 3/5 days will receive 1000 shillings for air time. These are: Karl, Nora, Patricia, Francesca. Those who answered 2/5 days will receive 500 shillings airtime: Gordon, Jane. The next case will be released on the 25th of February. Thank you for your hard work. Until then please keep working hard, going on home visits and sending messages in the Seeta Nazigo / Makata group or Kavulle / Kirujja Butoke group and we will answer and questions you have there. Remember to keep getting consent forms signed and pair up to go on home visits. Any problems or patients with issues please let Catherine, me or Bryan know. Thank you.	case study	TRUE	SE	none
C&I-SE	C&I	SE	Qiana, Oliver and Matthew - thank you for your effort but please ask others if you don't understand how you use your phone and contribute to the case groups. It is important that you reach out for help and ask for help from your supervisors if you need it. Matthew and Oliver replied to 1 of the questions this week. Oliver on Thursday, Matthew on Tuesday. Qiana we have not heard from. Can someone check she is ok?	case study	FALSE	C&I	none
C&I-C&I	C&I	C&I	Yesterday my phone had lost network for internet the whole day, I was waiting to receive messages but I didn't get any until my brother who has just come and fixed the network now its working. Thank you members.	case study	TRUE	SE	SE
C&I-C&I	C&I	C&I	To the VHT Case group, that's my leg in the photo it affects me so much, don't blame me for not working, we are working, today we examined a  child but we failed to handle his illness so to referred him to Andrew, unfortunately its a Saturday. That's all for today.	case study	TRUE	QA	none
C&I-C&I	C&I	C&I	Hi Matthew. Please share this in the seeta nazigo \ makata group. This space is for the cases only. Thank you	case study	TRUE	none	none
SE-SE	SE	SE	Sorry Mr Matthew quick recovery	case study	TRUE	none	none
SE-C&I	SE	C&I	I'm very sorry Matthew. I didn't realise this was your leg. I think you should visit the doctor to get it examined. I can also look at it for you next week.	case study	FALSE	none	none
C&I-C&I	C&I	C&I	Mr. Matthew the messages you have sent in this group are meant for the other one. This is meant for the case studies.	case study	TRUE	QA	none
C&I-C&I	C&I	C&I	I was in X's home treating some people with ear problems. After I moved around but didn't find any other person with ear problems so I went back home.	case study	TRUE	none	none
QA-QA	QA	QA	Well done Isabella. Welcome back from the church service. What are we going to do about Miss X? I haven't got a reply yet. I was suggesting we fix some time tomorrow evening and give her some antibiotics because of the wounds so she can get some peace. How do you see?	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	It could be true because she has wounds. Also, this lady called X who had pus from the ears kept complaining of pain but I asked her and she said she no longer feels it. She also said she can at least hear a few words when someone speaks. We shall go back and check on her. Another thing, there's also X. When you look at Monday's program, I would like Andrew to see him as well. Thanks and good night.	case study	TRUE	QA	none
QA-QA	QA	QA	Isabella, that issue you have pointed out about our patients is good . As for X, if only you had seen Doctor last time. Now X and her husband got lucky. They got for them a specialist who will be working on them. If you had brought that child for his ears to be examined, we would have gotten somewhere and doctor would have helped us. They would go at once with the rest because he will be the one driving them. Don't you see in his message?	case study	TRUE	C&I	none
SE-SE	SE	SE	I have seen all the messages my fellow VHTs. Those sympathising with me about my disease plus advice on how to use our groups. Thank you so much. Good night.	case study	TRUE	SE	none
SE-SE	SE	SE	I thank my fellow VHTs like Dorothy, Luke, Bwendi, Janet, Karl, Isabella and the rest we work with. Patricia, thanks so much. Thanks for replying to questions. It motivates our teachers. It shows we were giving it our all during the training. They also get to know the people they placed in communities to help the people are doing well. That's it. God bless you and keep it up. Amen.	case study	TRUE	SE	none
C&I-QA	C&I	QA	Gordon Byamukama, did you just move around? You should say you also examined. We haven't understood you really well. Did you move around and after went home or you examined and found no one had an ear problem? But you really didn't find anyone with a problem? Not even wax?	case study	FALSE	none	none
C&I-C&I	C&I	C&I	My fellow health worker Isabella, I haven't been so clear but I went to Samanya's home and treated the patients there. They had wax. But because I had run out of time, I only went to their nearest neighborhood and there after  decided to go back home. Those in Samanya's home had wax and I treated them all.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Isabella I came across people with a lot of wax. I have made it clear I think it in the other message.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Harriet tomorrow we should go back to see Mrs. X. Some of them are given appointments but need to be followed up to make sure we don't loose them. Please pass by my home and we will go see.	case study	TRUE	QA	none
QA-SE	QA	SE	Isabella that issue of moving together is very good. We can always share ideas. Tomorrow will move with Mr. Matthew if he is not busy.	case study	FALSE	C&I	C&I
C&I-C&I	C&I	C&I	Harriet tomorrow I would like us to go to Dan's place, remember last time we made the report but we did not treat them. But make the report and tomorrow we go treat them. You come because Karl made an appointment with him but he didn't go. Go and we can find out their problem.	case study	TRUE	none	none
QA-C&I	QA	C&I	There is a question I am asking my fellow VHTs. There is a house I have found a child. The boy is 10 years, but he is mentally disturbed. So I need your advice. Can I take the child to Andrew on Monday. I need advice because the child does not talk or hear - he is deaf. I need advice what can I do.	case study	FALSE	C&I	none
C&I-C&I	C&I	C&I	Catherine there is a sound on my phone - like an alarm I don't know what to do. Maybe my phone has a problem?	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Catherine you were not clear about what I should do with that boy who can hear. So I will wait for a response tomorrow.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Byamukaka how about the other boy who does not speak or hear? The name you are using 'kasiru' means mentally disturbed, but it is better just to say that he can't hear.	case study	TRUE	SE	none
SE-SE	SE	SE	We can also ask our supervisors to correct us. It is better to say things like 'hearing impaired' or 'deaf' rather than 'mentally disturbed'.	case study	TRUE	none	none
SE-SE	SE	SE	Wow. Thanks Gordon.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Happy to see your patients who need my input on Monday Isabella. I can come to makata Primary at 2pm if you like and we can go see patients from there?	case study	TRUE	QA	none
C&I-C&I	C&I	C&I	Don't worry. If you have more children with hearing loss we can take them to Kampala on the next trip Catherine and I make. Francesca also has a 12 year old boy who we need to take but we could not fit him in the car - we can only take 3 patients at a time. Just make a note of the people who have bad hearing loss and we can take them next trip in March	case study	TRUE	C&I	none
SE-C&I	SE	C&I	We can see you Monday Matthew and look at your leg for you.	case study	FALSE	none	none
SE-SE	SE	SE	Well done Gordon	case study	TRUE	none	none
C&I-C&I	C&I	C&I	I still feel pain, am trying to step down slowly I don't know whether tomorrow I will get treatment because am going back to see a specialist	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Mr Matthew am sorry I heard from Bryan that you are not supposed to use this path to report such a case.	case study	TRUE	none	QA
SE-SE	SE	SE	Am sorry for writing here, it was a mistake, it is not what I do every time I apologise.	case study	TRUE	none	none
QA-C&I	QA	C&I	Andrew there is a patient who has a lot of wax, the patient doesn't hear well, someone needs to talk facing the patient before the he or she hears.	case study	FALSE	none	QA
QA-QA	QA	QA	Andrew I have found a patient with pus in her ear, you told us that to give such a patient antibiotics we have to first consult you, what can I do? I beg for a reply ssebo	case study	TRUE	C&I	none
QA-QA	QA	QA	Andrew, this patient, am talking about looks like he or she has a hole on the ear drum and it also looks infected but it has a lot of puss. So I am waiting for your advice on what to do for the patient. Thank you	case study	TRUE	C&I	none
C&I-C&I	C&I	C&I	Thanks Gordon. I can see the patient with you tomorrow if you like at 1 o'clock? I can meet you at makata trading center and we go from there. Well done for detecting it but please use the makata \ seeta nazigo group for referrals . thank you ssebo	case study	TRUE	C&I	none
QA-QA	QA	QA	Byamukama, thanks for the work you are doing and I send my greetings to you. You have talked about the patient you found Mrs Namusoke who has puss in the ear and her ear drum looks like it has a hole in it. Before you put antibiotic drops, you first washout the ear after that you put the antibiotic drops, am not sure whether you got the kit, but if you haven't got the kit, you have to see Andrew to give it to you so that you can treat that patient.	case study	TRUE	SE	C&I
SE-SE	SE	SE	Byamukama, when a patient has puss in the ear, you have to do an ear washout after doing that as we do, you put the antibiotic drops because you like it or not such a patient must be having some wounds in the ear. That's what I think. What I had forgotten after the ear washout, you do ear mopping before putting antibiotic drops. Thank you so much	case study	TRUE	QA	C&I
C&I-SE	C&I	SE	Thanks Isabella and Harriet for the work you are doing you have really worked hard and thanks for winning airtime, but am suggesting that let's be patient and observant  because though Byamukama wrote the information in the case group, you were also not supposed to put it here at the VHT case group but rather the other one of Seeta Nazigo.	case study	FALSE	SE	C&I
C&I-C&I	C&I	C&I	Because if you write here again, Gordon is also going to do the same, the Case group is for questions and learning. But all the challenges we get should be put in the other groups of Seeta Nazigo and Makata and that of Kirijja Butooke/Kavule group	case study	TRUE	none	none
QA-QA	QA	QA	Hi Andrew, am Harriet I have used Isabella's phone because mine has got a problem and I will bring it for help tomorrow, my issue is about the other lady called Namagembe Miriam who had some staff in her ear, the one who was using sticks to clean her ear, with blood in the ear drum, we went back for a follow-up, because I didn't get your advice about the lady, I have examined her again and I saw pus in her ear drum, and some blood in the ear canal and also the other ear which had a normal ear drum has also started looking the same. I was suggesting if it is okay I add the patient on the list of those you are going to meet tomorrow. We have one called Kasaga and Namagembe Miriam whom we want you to assess when we come at the Health centre tomorrow thank you so much.	case study	TRUE	C&I	none
QA-C&I	QA	C&I	Hello Dr. Andrew  I have a patient who has a swelling on the ear, but today we are meeting at 2pm so please can we see them together?	case study	FALSE	C&I	none
QA-QA	QA	QA	Hi Andrew. Good morning. I have a patient we were going to see today. He has a hearing loss and a swelling of the pinna and it has a perforation like a sinus on it. So I told them we will meet in town. Another patient does not hear.	case study	TRUE	C&I	none
C&I-C&I	C&I	C&I	Isabella are you back so that we can go wash the other old lady's ears as we agreed? Because the appointment time is about to reach so please hurry if we are going to reach this woman on time. Thanks so much.	case study	TRUE	SE	none
QA-C&I	QA	C&I	Or can I go and see the patient and I tell them to come on 4th of March, when I have known the condition the child is in.	case study	FALSE	none	none
SE-QA	SE	QA	That's where I beg Andrew that most villages did not get VHTs but they have ear problems, what are we going to do? We kindly ask for a response and we see what next because there are many villages which have no VHTs but they have ear problems. What are we going to do because they have started approaching us since they know we were trained.	case study	FALSE	C&I	C&I
SE-SE	SE	SE	Thanks Isabella for bringing the idea of working in groups, thanks for the work my phone was not sending messages and I was not receiving them I had just learnt how to use it. May God protect you and bless you.	case study	TRUE	C&I	none
C&I-C&I	C&I	C&I	Francesca did you go and visit Mrs Nalongo Tendo, because I got caught up with the other staff of Nakalema and when I came back I was feeling pain in my leg, did you go there?	case study	TRUE	C&I	none
QA-C&I	QA	C&I	Matthew I know you are an adult and you have sense and you understand, why do you write on the case, why do you always put in the case group things that can't be understood, we are tired of you, I want you to learn Mr Matthew, you are an adult, you have to learn.	case study	FALSE	none	none
QA-QA	QA	QA	Luke the way you have talked to Mr Matthew is not good, you should know the he is an adult, explain to him well.	case study	TRUE	none	none
SE-SE	SE	SE	Sorry Matthew about the pain in your leg, and reminding Francesca about Tendo, but am requesting you that if you have any problem about using the groups try to get some one who knows like Francesca, Byamukama and other people in the other groups, we work together and see how we can solve that problem.	case study	TRUE	C&I	none
C&I-SE	C&I	SE	Another issue is that, we were informed that in case we find any challenges, we have to meet Bryan and Catherine who are close to you and they will help you in any problem. Bryan and Catherine are close to you, get time and go there. Mr Luke we request you to apologize for Mr Matthew, whether you send him a personal message or in a group and we know the he has got your apology.	case study	FALSE	none	C&I
SE-SE	SE	SE	Edward, I beg for forgiveness, I have already apologised, even Kiggundu has told you, after saying it, Dorothy responded and told me to apologize and I did for Mr Matthew, I even got a verse in the Bible which says "when a person understands his mistakes, he will stand in the eyes of the Lord and repent and he will forgive you" and I know that Mr Matthew has forgiven me.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	I reached at 's place like three times but I didn't get her, today I was in Kaziba to do an ear washout to those people we gave olive oil while we were with doctor Andrew	case study	TRUE	none	none
SE-SE	SE	SE	About that issue of Mr Matthew writing in this group, I will be helping him because we share many things, I will see him, things are not easy, I will teach him well.	case study	TRUE	none	none
C&I-SE	C&I	SE	Mr Matthew Johnson, well done, I humbly request you that whatever has gone wrong, please forgive Luke may be he had something disturbing him, forgive him, everything will be okay that is the condition we find in this world, it was a slip of the tongue, forgive him.	case study	FALSE	none	C&I
C&I-C&I	C&I	C&I	Good morning. Perhaps  if someone actively has an ear problem and comes to you to seek help see them and treat them. However the reason I asked to remain with just makata seeta kavuule and kirujja was so you aren't over whelmed with people. If they are in seeta nazigo parish though its ok to see as this is the area we have ethical clearance for. What do you guys think?	case study	TRUE	SE	QA
C&I-C&I	C&I	C&I	It's a good idea. We shall try to do that in our community of service and wait for those who can come to us by themselves from far places. Thanks.	case study	TRUE	C&I	none
C&I-SE	C&I	SE	Good morning VHTs. Did you have a good weekend? Thanks for all your work. We are now back to our cases which we always have after 2 weeks.	case study	FALSE	SE	none
C&I-C&I	C&I	C&I	Question 1. You are on a home visit in Kirujja Butoke and you are asked to see a 35 year old woman. She is complaining of hearing loss in her left ear, some discharge that has not settled and  pain. Q1a. What are the things you need to do? Q1b. Where should you record the history?Q1c. What questions are important to ask in the history?	case study	TRUE	none	none
C&I-C&I	C&I	C&I	My Dear VHTs. Have you understood the question?	case study	TRUE	none	none
C&I-C&I	C&I	C&I	A)  Introducing yourself. Seeking for their permission to examine their ear. If they accept I examine them and take their history. B) I take their history in the book. C) I ask for the head of the household. The number of the people in the house hold. Age. How long they have had to pain. If they got any treatment. If so which treatment. I wash their ear and given them antibiotics. After that I follow up.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Well done Miss Catherine. We have understood the questions but most of the VHTs are now in the garden planting because it rained. We have understood the questions and we shall reply. Thanks so much.	case study	TRUE	SE	none
SE-SE	SE	SE	Ok Mr. Karl. Thank you.	case study	TRUE	none	none
SE-SE	SE	SE	Thanks very much Dorothy	case study	TRUE	none	none
C&I-C&I	C&I	C&I	The important question I ask after taking the history is if they have any allergy. That's what I have to say.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	I write the history in the other big book that was given to us. I write down my names, head of household who signed the consent form and the names of the patient, their village plus everything concerning their ears. For example they told me they feel some pain, so I ask how long they've had it. After that, I ask them if they have any other disease besides ears. When I'm done with that, I embark on examination for the second time since I would have finished the wash out and given them some pain killers. I then check their hearing using the whispered voice hearing test. After that I give them a copy of the form to confirm that I have successfully treated them and then I take the pink one to the health centre. As for the white one, I write in it like Dorothy told us i.e. the phone number of the patient and where they stay to help me remember.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Question no.1) if I find that lady with pain and discharge, first thing I do is to give her some pain killers to reduce the pain. After that, I wash her ear. When I'm done washing her ear, I dry it. Next I put in antibiotic drops to heal the wounds. Three drops. I then let her go home. That's my answer to the first question. Question 2) I take her history but before that, I give her the consent form to confirm that she has accepted the treatment I will be giving her. I explain to her why she has to sign it. After accepting, I give her pain killers. When she says the pain has reduced, I do the ear wash out to remove the discharge. Next I dry it like I said in the first place. Another question, what important questions I'm I supposed to ask her. They include, how long she has had the pain, if she has had any treatment before and then I examine. After examining, I ask if she has any allergy. If she says she has, I call my bosses to inquire from them what to do like they told us.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Greetings to you all. When I go to see that lady in kirujja butoke, I first introduce myself to her i.e. Who I am and what I do. I ask her what she would like us to do because she may not want an ear wash out or she may want a specialist instead of me. I seek her permission and also explain to her that I can do it. When she grants me permission,  I examine her ears. If I discover there's discharge, I explain to her that we are going to wash those ears, dry them and then put antibiotics. Three drops three times a day for five days. I take the history in my book that has three sheets of carbon. When I'm done taking the history, I give her one copy and advise her to keep it. It helps me while doing follow up. I take another copy to the health centre and keep one in the book. After that, I ask for her names, the people who are apart of her household, her age, village, number of people in her household, how long she's had the condition and the treatment she's had so far. I ask her if she has any allergy. If she says yes, I request her not to use the medicine because it may cause complications. If she says no, I ask her to go ahead and use it. After 5 days, I go back to follow up.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Question 1a) I first introduce myself to the patient and then let her know what I'm going to do including taking her history, examining her ears and her hearing. I also seek for permission from the head of the household by signing the consent form. I then go ahead with the plan I just talked about. If I examine and find discharge in her left ear, I wash, dry it and then put antibiotic drops for about one week. b) I take the history on the form with three copies. One remains in the book, another is taken to the health centre while the other is given to the patient. c)The important questions I ask the patient as I take their history include her name, age, the ear with a problem , if her hearing is okay, if she has tinnitus, discharge, itching, pain or if they have any problem besides ears. That's my reply to the questions.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	It's me Harriet. Greetings to you Catherine and well done. If I go to kirujja butoke and come across such a patient, I greet her then introduce myself to her. Once I'm done introducing myself, I ask her if she has any problems with her ears. If she says yes, I ask her if she would want to be examined. If she accepts, I write down her names, name of head of household, age, village and the ear with the problem. After that, I ask if she has any other problem besides ears. If she says no to that, I request her for some water to clean my hands. I then ask her again if I can examine her ears. If she accepts, I carefully take out my otoscope and examine her ears. In case I find her with that problem, I write it down and the particular ear I've found it. When I'm done with that, I check her hearing using the whispered voice test. If I find that her hearing is okay, I explain to her that I'm going to treat the ear with discharge. I then wash, dry the ear and give her antibiotic drops to use for five days, three drops three times a day. After the five days elapse, I go back to follow up. Also since she feels some pain, I encourage her to take some Panadol to reduce it. b) I take her history in the book you gave us that looks like a receipt book. It has three papers. The white one, pink and blue. I leave the blue one to confirm that I've worked on her and she can show it to anyone who may happen to have questions. c) I ask if she has any other condition or allergies. Some of them don't know what allergies are but you can explain to them. If they don't have, I go ahead. That's my reply.	case study	TRUE	SE	none
SE-SE	SE	SE	Thank you	case study	TRUE	none	none
C&I-C&I	C&I	C&I	1a) I first introduce myself to the head of the household and seek their permission to check her or any person in that household.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	b) I ask for the number of people in the household and the number of patients.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	c) I ask their age	case study	TRUE	none	none
C&I-C&I	C&I	C&I	All VHTs are doing fine only that some of them are busy in their gardens.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	I take their history and ask how long they've had the condition.	case study	TRUE	none	none
SE-SE	SE	SE	Greetings to my fellow VHTs and thanks for the work you're doing. Greetings to you Catherine as well, thanks for loving us, looking out for us and reminding us what we may have forgotten. This is my reply to the question.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	1a) I introduce myself to the patient and ask for her permission to examine her ear. I also take her history.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	b) I take the history in the book.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	c) I ask for the name of the head of household, their sex and age.  ask how long she has had the condition and whether she received any treatment. If she says no to the latter, I seek for her permission to wash her ears. If she accepts, I wash and dry them and then re examine to see if they're now clean. When I'm done with that, I put three antibiotic drops for three weeks as I do follow up. Regards to you my fellow VHTs and thanks for answering the questions.	case study	TRUE	SE	none
C&I-C&I	C&I	C&I	Forgive me fellow VHTs, I think my phone is having issues. If I find the 35 year old lady from kirujja butoke, I first introduce myself to her. Question 2) I take her history in a book c) These are the most important questions I ask. I ask for her names, head of household, her condition, how long she has had it and if she had any treatment. In case she got any treatment, what the reaction was. After I request for some water from her to clean my hands. I then examine her. If I find she has an infection, I wash her ears with iodine solution and thereafter apply antibiotics. When I get done with that, I follow her up either in one or two weeks. That's my reply.	case study	TRUE	C&I	none
SE-SE	SE	SE	Thank you very VHTs for those who have replied on todays case.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	The answers are as follows. A: They should mention about introducing themselves to the patient, explaining the project to her, getting consent, making sure she understands the consent and then begin the process by taking a history. A: They should record their history in their history books. A: They should focus on the 6 questions in the history book e.g. Any ear pain (Yes or No), Any discharge (Yes or No), Any hearing loss (Yes or No), Itching (Yes or No), Dizziness (Yes or No), Tinnitus (Yes or No).	case study	TRUE	none	none
SE-C&I	SE	C&I	Thanks all of you, because all your answers are good. Do the same tomorrow. Good night.	case study	FALSE	none	none
SE-SE	SE	SE	How are you all my friends?	case study	TRUE	none	none
C&I-SE	C&I	SE	We are fine Doctor. Thanks for the work.	case study	FALSE	SE	none
C&I-C&I	C&I	C&I	Ok Sir.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	Friends I don't know what is happening to my phone. I have sent them twice but they are showing they have not gone through.	case study	TRUE	none	none
C&I-C&I	C&I	C&I	VHTs I ask for forgiveness my phone was off. I have just seen the question. The first question. I first introduce myself. Then I tell the person my name. Then I ask for permission to examine the patient. Then I ask for sterile water, wash my hands, examine. Then I ask for a history. I write the history in the book. As I fill in the questions.	case study	TRUE	SE	none
