Prediction,primarySupervisoryCategoryAdaptedFromVuHenrysPaper,secondarySupervisoryCategoryAdaptedFromVuHenrysPaper,tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper,quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper,fifthSupervisoryCategory,Sender category,Anonymised message
Quality assurance,Communication and information - requesting information,Supportive environment - mutual learning,NA,NA,NA,Peer supervisor,"Byamukaka how about the other boy who does not speak or hear? The name you are using 'kasiru' means mentally disturbed, but it is better just to say that he can't hear. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Behind that child's ear,  I can see it's reddish and swollen. I think that child has acute otitis externa and I can handle the disease by sending the mother to get him pain killers to reduce the pain. That disease can may be exist temporarily and heal on its own. That's my answer to today's question."
Communication and Information,Quality assurance - patient management,Communication and information - clarifying information,NA,NA,NA,Facilitator, Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW,"Good morning VHTs.I wish you a nice Sunday. My advice for todays question - be very hygenic in the home whether in the kitchen, the house, or the things she uses to prepare food. Another thing I advise her is to spray the cockroaches and flies and to not let them to get on the food. Also I advise her to cover the toilet. Another thing I advise her is not to keep animals around the house because Catherine told us that isn't good. Make sure you cook meat well. Also I teach her to tell the kids to wash their hands after they eat and the mum with soap even when preparing the food for the kids. Also giving them boiled water. Also boiling the water at home used to cook food - because using water which isn't boiled also causes diahorrea. "
Supportive environment,Quality assurance - reprimand,NA,NA,NA,NA,Facilitator,Luke have you forgotten the purpose of the group? 
Quality assurance,Communication and Information - clarifying information,Communication and information - clarifying information,Supportive environment - greetings,NA,NA,Peer supervisor,"Greetings Nalongo (Isabella), that video touched me so much but it is in Entebbe,  I have a friend in Entebbe who sent it to me so I asked him whether it is a true story. He told me it is true, that lady they had reported her to police on several offenses, but now she was arrested, someone captured her on camera and took the evidence to police now she is in  prison."
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - encouragement and praise,NA,NA,CHW,"How's your day fellow health workers? Well done! I was unable to reply to yesterday's question but this is what I have to say about it. When a mother comes to me and explains the symptoms their child has like high temperature, rapid breathing, pain in the limbs, from what I know I just advise her to take the child to the health centre for further examination. Observation and assumptions are not enough. I may think it's malaria yet it's something else so they need to go for blood check up to identify what type of malaria it is. As a VHT I don't have the equipments for blood check up neither do I have a thermometer to measure body temperature. That's my reply to yesterday's question."
Supportive environment,Communication and information - acknowledgement,Supportive environment - thanks,Supportive environment - greetings,NA,NA,Peer supervisor,"Thank you members for your response, I will take it seriously and I will follow it. Have a good night."
Supportive environment,Communication and information - giving information,Supportive Environment - thanks,NA,NA,NA,CHW,"Thank you VHTs who have shared the videos, my phone had got a problem, I have just watched the the videos after fixing it, thank you so much."
Supportive environment,Communication and information - training,NA,NA,NA,NA,Facilitator,And this is wait a negative RDT looks like if the child does not have malaria
Communication and Information,Quality assurance - record keeping,Supportive environment - encouragement and praise,NA,NA,NA,Peer supervisor,Try to remind our colleagues to bring their forms  at the Health centre as we were told. Thanks.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"The symptoms that can show me the child is dehydrated include dry skin, bright and sunken eyes and general body weakness."
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - Thanks,NA,NA,CHW,"Greetings to you all our health workers, Mwebe, Andrew, Bryan, Catherine and thanks for what you're doing for us. I would like to thank all the VHTs and our supervisors for everything you're doing. I can see a picture of someone either a child or an adult plus an ear which I think is the left one. If the person was born with that hole which we call lukatu in Luganda, it poses no threat. But from what we have been told if it causes problems like swelling, the advice I can give to the person is to refer them to an ENT specialist for further examination. The biggest problem is what we copy like pricking ears with machines which makes the ear look like two in one. That's my view. Thanks so much. It's me Matthew Johnson, VHT Makata."
Quality assurance,Communication and information - giving information,Communication and information - acknowledgement,Communication and information - logistics and planning,NA,NA,CHW,"Bryan I have heard the message, this phone has been disturbing me, it had no network and the messages were not coming and going through. But I will work tomorrow with Andrew because tomorrow I will have time."
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW," Greetings to you all fellow health workers. This is my answer to today's question. After the mother explaining that to me, I can tell if the child is malnourished by pressing their leg and if it leaves a hole it means they are malnourished. If I find out they are malnourished, I advise the mother on what to do. Thank you."
Quality assurance,Communication and information - training,Quality assurance - health education,NA,NA,NA,CHW,According to what they told us during the training - if there is no response to treatment you refer that child. Remember specialists study the things we studies in four days for years. So you send the child to the specialist and don't gamble with treatment. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,Another one is over eating mangoes and maize therefore we should ask them to reduce their intake.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,I explain to that patient that they might have gotten malaria and they were given quinine causing the problem. 
Supportive environment,Communication and information - clarifying information,NA,NA,NA,NA,Facilitator,"Ok Karl, so it means the government is the one responsible, but it doesn't have that?"
Quality assurance,Supportive Environment - Greetings,Supportive environment - thanks,NA,NA,NA,Peer supervisor,Thanks. Dr. How are you there?
Quality assurance,Communication and information - giving information,Supportive environment - religion,Supportive environment - greetings,NA,NA,Peer supervisor,"Good morning fellows. I don't know if you have heard about Francesca's condition. I just heard about it too this morning and I was asking Gordon if he knows what happened next but he hasn't replied yet. I called Francesca directly and she said she was really badly off yesterday but she will be fine. However, on their way to the health centre they got an accident and she had to go there again this morning for treatment. She says she will be fine though and we should continue praying for her."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"After washing the ears of the patient and finding out the wax is still there I do the wash out again, if I found out it is still there after washing out again I refer the patient to the specialist. "
Quality assurance,Communication and information - training,Communication and information - giving information,Supportive environment - greetings,NA,NA,CHW,"Greetings my fellow VHTs. I think my phone had an issue yesterday. The voice doesn't go through. This is how I reply to yesterdays case. I first introduce myself, I explain about the project broadly, the I give the information and consent forms. After filling these in, i take ut the history book, I ask the history of the patient. Question B. I fill in the history in the book. I complete all the sections that are relevant. The age of the patient. Part C. I ask for permission to examine the patient. Amongst the questions I ask the patient I ask about pus in the ear, diziness, how long it has been going on, any other illnesses, allergies. If they have no allergies but I see pus I give antibiotic drops. But for a week. "
Quality assurance,Communication and Information - Logistics and Planning,NA,NA,NA,NA,Facilitator,Hi Edward I am here at Seeta Nazigo health centre
Quality assurance,Communication and information - training,Communication and information - giving information,NA,NA,NA,CHW,This is my reply to today's question. I didn't have OTT yesterday. The question is about what causes malaria and this is my answer. Most people have mentioned not sleeping under a mosquito net for malaria so I'll leave it at that. Let me talk about typhoid. Typhoid affects the intestines and most of the time it is not diagnosed with a blood check up. They usually use waste. It is caused by eating dirty things over and over for a long period of time. This could be through touching soil while digging that may have been contaminated by feaces and after eat a jack fruit or you could be having worms. Normally we all have malaria in our bodies but it only comes out if we let the worms in our bodies multiply like it is the case for T.B and measles. That's my answer for today's question.
Supportive environment,Quality assurance - reprimand,Supportive environment - apology,Supportive environment - greetings,NA,NA,CHW," My regards to you all and I apologize for the so many messages. Luke just blamed me for sympathising with Francesca using this platform but I saw others had done it from here too. I also got to learn about it from this same platform. Why is he choosing to blame only me yet many of us have sent her messages here? I wouldn't know what happened to her but I opened the messages and saw my fellow VHTs including our supervisors sympathising with her. Luke should first get to know the truth before blaming. My regards to you all, it's Nora."
Quality assurance,Communication and information - clarifying information,NA,NA,NA,NA,Peer supervisor,What about the two patients - do you know anything about them? 
Supportive environment,Communication and information - giving information,NA,NA,NA,NA,Facilitator,Am so sorry my internet was not working since yesterday. I have just fixed it this evening. 
Quality assurance,Supportive environment - mutual learning,NA,NA,NA,NA,CHW,"Harriet this is the answer to your question of why malaria may fail to be detected using RDT but a microscope instead. RDT is only used to check malaria. The microscope shows a lot including typhoid. You very well know here at Seeta Nazigo before they introduced RDT, the microscope couldn't detect malaria even when someone felt so much pain. Typhoid can hardly be seen in dispensary or government health centres. It's commonly detected in clinics."
Quality assurance,Supportive environment - moral support,Communication and information - acknowledgement,NA,NA,NA,Facilitator,No problem Isabella. Lets hope that everything goes on well at Mulago. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Behind that child's ear,  I can see it's reddish and swollen. I think that child has acute otitis externa and I can handle the disease by sending the mother to get him pain killers to reduce the pain. That disease can may be exist temporarily and heal on its own. That's my answer to today's question."
Quality assurance,Communication and information - training,Supportive environment - Greetings,Communication and information - giving information,NA,NA,CHW,"Greetings fellow VHTs.  I am back from Mulago and this is the advice I can give to Enoch's parents. I first sensitize his mother to give her children enough food i.e body building foods, energy giving foods and foods that fight against diseases. That food ain't expensive since we grow it in rural areas e.g vegetables, beans, posho and sweet potatoes. If a child has all that food in their bodies, it's hard for them to fall sick and they grow up to be healthy and lively."
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,Facilitator,Jane we want to know what causes itching in the ear before we know what to do with the patient. 
Quality assurance,Supportive environment - moral support,Supportive environment - mutual learning,Supportive environment - greetings,NA,NA,Peer supervisor,"Greetings Harriet. Sorry about that problem but as soon as I heard it, I might have got it wrong but my guess was you have an allergy. Personally when I take a walk in coldness especially in the morning, my whole body itches and sometimes my tongue swells. But again you have said your pinna hurts and you experience itching. I think if you feel that way again, you should go for a check up immediately. You never know what kind of disease it could be. I suggest you see someone when you're still feeling like that.  You may be having an infection that worsens in such conditions.That's what I think dear."
Supportive environment,Communication and information - training,Communication and information - acknowledgement,Supportive environment - Greetings,Supportive environment - Thanks,NA,CHW,Greetings fellow VHTs. Thanks to those who have replied to the question. I agree with all your answers and don't have much to add. I would like to just emphasize the issue of referral. A child like that needs to be referred for blood check up to identify what type of malaria they have. Thank so much for answering the question. That's what I think.
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW," Greetings to you all. Just like my fellows, diarrhoea at home can be prevented by mothers encouraging their children to wash their hands before eating anything and after visiting the latrine. They should also avoid eating dirty things like unwashed mangoes, defecate in latrines and not anywhere else, drink boiled water and also cover food to prevent it from contamination by cockroaches."
Supportive environment,Communication and information - giving information,NA,NA,NA,NA,CHW,Wait for the photo. 
Supportive environment,Communication and information - clarifying information,Supportive environment - encouragement and praise,NA,NA,NA,CHW,Thanks to all my fellow VHTs for their good work. I have been so quiet because I have not started his home visits yet and will therefore embark on that tomorrow afternoon. Otherwise I am with you. Please vhts contribute your answers to the question Catherine asked earlier if you have not already
Supportive environment,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW,Good morning fellow workers  the picture shows me the disease called  fungal otitis  external.
Quality assurance,Communication and information - giving opinion,Supportive environment - moral support,Supportive environment - greetings,NA,NA,CHW,Greeting Nora. How is the baby? Have you seen she no longer wants to eat? You have to give the baby a lot of drink and juice. You give the baby good food which can heal the body. Give her all that and force her to eat. She will be ok. It might be a problem with her appetite. But she will be fine. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"Totally correct. The ""hole"" is called a ""pre-auricular (infront of the ear) sinus (hole)"""
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,How I can handle that condition is by referring the patient to specialists. They can decide what to do for them.
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"He says if there's no difference after one week, he refers the boy to a specialist in a bigger hospital before it worsens."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"Most of the time that sinus (or small hole) is ok, but sometimes that sinus can get infected and swollen. That is why we recommend they visit the specialist to have it removed to prevent the infection from occuring."
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,Facilitator,Unfortunately two have quite severe hearing loss that even a hearing aid can't help. They have a small young child and it will be important for her to spend time with her relatives that are able to speak and hear well so that her speech develops normally
Supportive environment,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW," Greetings to you all fellow VHTs. I can also see that disease is called pre-auricular sinus. If the patient tells me they feel pain, I advise them to get pain killers to reduce the pain. I also refer them to specialists for further treatment. That's what I have to say. Thank you."
Quality assurance,Communication and Information - Logistics and Planning,Communication and information - giving information,NA,NA,NA,Peer supervisor,My battery was also dead. Now I don’t know what to do because I've not seen the patient. If Edward is around he could accompany you. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Question 2. Incase I find those people in my community, I counsel them and tell them they are not alone. I also tell them there are organisations which bring together the deaf people. I advise them that there are organisations that empower deaf people with technical skills in carpentry and tailoring using sign language. We have encountered such people in society and they are usually very good. That is the advise I can give there are also schools that can teach deaf people using sign language. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,Hi vhts so the correct answer is that this is an infected preauricular sinus. It needs to be referred for incision and drainage at the health centre. They also need appropriate antibiotic tablets and they eventually will need to go to mukono HC4 to have the sinus removed to prevent the infection from happening again. It is not otitis externa
Supportive environment,Communication and information - training,Supportive environment - Greetings,Supportive environment - Religion,Supportive environment - thanks,NA,CHW,"Greetings to you in the name of our Lord Jesus Christ and thanks for the work you're doing. This is what I can tell the people in my community to do to prevent malaria. They should maintain sanitation in their homes.  I also encourage them to clear bushes around them and to avoid keeping uncovered containers that can retain water. They should avoid stagnant water that acts as a  breeding place for mosquitoes. If it is a large pond, oil must be poured in it. Another important one is closing windows and doors when it's still early to prevent mosquitoes from entering. They need to sleep under treated mosquito nets too when it's time to go to bed. That's how I can advise the people in my community to prevent malaria. Thank you."
Quality assurance,Communication and information - making a request,Supportive Environment - thanks,NA,NA,NA,CHW," Me I would like to know more about the outer illness called sinus,  they say in most cases the child is born with it, but what could be the cause for the disease of sinus on the outer ear because you may go in the field and someone comes to you with such a problem and the person asks you how it is caused. I would like to know what brings sinus. Thank you so much."
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Peer supervisor,Ok 
Quality assurance,Supportive Environment - Greetings,Supportive environment - religion,NA,NA,NA,CHW,Fellow VHTs I want to make greetings to you all. Good night. We will meet tomorrow God willing. 
Quality assurance,Communication and information - giving opinion,NA,NA,NA,NA,CHW,"Luke, you're saying we are so quiet today yet we sent lots of messages yesterday? Mister today most of us spend the day at our places of worship. Not all of us are moslems."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"When I look behind the ear I see a hole, but how can a hole be behind the ear but when I look inside the ear I see the ear drum is swollen. "
Quality assurance,Communication and Information - Logistics and Planning,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,So the following VHTs please try make every effort that your patients come to Seeta Nazigo HCIII on Friday to see Dr Simon
Supportive environment,Communication and information - giving opinion,Supportive Environment - thanks,NA,NA,NA,CHW," I also thank you, thanks Luke for your advise, this function is going to be a good one, but it has some professionals of a higher level as I think, so I suggest we chose someone who can speak English whenever there is need and also speak Luganda, therefore Dauda can't do that work well, let's chose someone who can do this in that way it is supposed to be"
Quality assurance,Communication and information - training,Supportive environment - encouragement and praise,NA,NA,NA,CHW,"Well done health workers. Symptoms like not urinating, passing out stool all those times and sunken eyes are all very dangerous when a child has diarrhoea. We immediately mix ORS and ask the mother to give it to the child until they get to the health centre. I refer them to the health centre because I don't have treatment for the condition."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,"When I look at today's ear in the picture that has been given to us I see a hole behind the pinna. I remember they told us if the skin of the ear drum grew from inside, the behind part of the ear looks like that which is called cholesteatoma. That's what I see to day."
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW," Greetings fellow VHTs. My name is Nora and this is my reply to the questions. 4a) The most important issue is lack of transport to facilitate one to and fro, and yet seeing the doctor requires money one may not have at the moment. I think hospitals that treat ears should have various branches for example in Mukono and other areas."
Quality assurance,Communication and information - making a request,Quality assurance - patient management,NA,NA,NA,CHW, Got  a client with little wax but much Itcthing. We need your help.
Supportive environment,Communication and information - giving information,NA,NA,NA,NA,Facilitator,Tell him to make sure it is not on aeroplane mode.
Supportive environment,Communication and Information - Logistics and Planning,Supportive environment - encouragement and praise,Supportive environment - greetings,Supportive environment - moral support,Supportive environment - thanks,Peer supervisor,"Greetings to you all. Thanks for the work you're doing. Those who have lost loved one, sorry. I am just reminding you about tomorrow following the week's program. I want us to follow it properly until we get to the 10th. Have a good day."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,"I have seen that patient, after seeing them and doing all that I send them to a specialist for futher examination. The specialist can see what to do for that one. "
